编号,软件名称,授权类型,是否主程序,是否需要监控,软件许可协议网页,Remark,软件厂商
5477,PreAddValue,,,,,,'-
5478,PreAddValue (C:\Program Files (x86)\newcanteen\),,,,,,'-
5479,PreAddValue (D:\newcanteen\),,,,,,'-
5480,PreAddValue (D:\newcanteen\) #3,,,,,,Synaptics Incorporated
5481,PrebootManager,,,,,,Apple
5482,Preferences,,,,,,Microsoft Corporation
5487,Prerequisites for SSDT,,,,,,Apple
5488,PressAndHold,,,,,,Bodoni
5489,pressSIGN 11 Server,,,,,,Bodoni
5490,pressSIGN Client 11,,,,,,Apple
5491,PreviewShell,,,,,,Microsoft Corporation
5492,Pride 2019,,,,,,Apple
5493,Print Center,,,,,,'-
5494,Printer Console,,,,,,"Printronix, Inc."
5495,Printer Driver,,,,,,Unknown
5496,Printer Maestro,,,,,,BYHX
5497,PrinterManager,,,,,,Apple
5498,PrinterProxy,,,,,,prt.prd.alillb.esquel.cn
5499,Printing Sample Tracking System - PRT,,,,,,"My company, Inc."
5500,PrintService 1.4,,,,,,#N/A
5501,PrintService 1.9,,,,,,Mellow Colour
5502,PrintSpec,,,,,,Mellow Colour
5503,PrintSpecOne,,,,,,Unknown
5504,printui.dll,,,,,,Apple
5506,privatecloudcomputed,,,,,,Apple
5507,Pro Display校准程序,,,,,,Apple
5508,Problem Reporter,,,,,,proDAD GmbH
5510,proDAD Adorage 3.0,,,,,,proDAD GmbH
5511,proDAD Mercalli NLE 4.0 (64bit),,,,,,Google\Chrome
5512,ProductionDashboard,,,,,,Google\Chrome
5513,ProductionDashboard看板,,,,,,ColorGATE Digital Output Solutions GmbH
5514,Productionserver10,,,,,,Tullio Giusi spa
5515,ProfilaCN 2.5.0,,,,,,Apple
5516,ProfileHelper,,,,,,Unknown
5517,ProFind,,,,,,Unknown
5518,Program Compatibility Assistant User Interface,,,,,,Telerik
5519,Progress Telerik Fiddler,,,,,,Progress Software Corporation
5520,Progress Telerik Fiddler Classic,,,,,,Unknown
5521,Project1,,,,,,Apple
5522,Proof,,,,,,#N/A
5523,ProPDFConverter Internet Explorer Homepage and New Tab,,,,,,RAE Systems by Honeywell
5524,ProRAE Studio II,,,,,,RAE Systems by Honeywell
5525,ProRAE Update,,,,,,Zoho Corporation 
5526,Protector,,,,,,吕达嵘
5527,Proxifier 3.31 汉化版,,,,,,#N/A
5528,ps2,,,,,,PostgreSQL Global Development Group
5529,psqlodbc,,,,,,PostgreSQL Global Development Group
5530,psqlODBC_x64,,,,,,#N/A
5531,PSTI_1_3_2,,,,,,#N/A
